ItemNumber,ShippingReportWeight
A5727,0.0622
A5622,0.121
12236,0.053
17307,0.019
12262,0.028
A10906,0.284
20702,0.064
20601,0.012
13993,0.036
196091,0.035
170895,0.035
319612,1
19944,0.01
20565,0.001
13787,0.016
A7090,4.339971796
E3180,0.2276
A4591,0.086
E3340,0.399
15284,0.068
15451,0.077
19412,0.042
13282,0.055
21087,0.006
14375,0.122
169350,0.239
13127,0.043
13712,0.005
15324,0.004
E2356,0.99
E5546,1
A8497,0.206
E2425,0.235
13365,0.024
11821,0.002
13966,0.004
319889,1
A8673,1.856
A4488,0.131088195
E3427,2.04
A7675,0.9
21381,0.066
A5352,4.899704781
E1451,0.057606231
A4029,0.634575726
20213,0.043
169222,0.023
20249,0.0153
11942,0.005
A3298,1.07
A3367,0.366
19297,0.003
A10910,0.201
A10895,1.37
10103,0.026
20839,0.025
A4744,0.153
A4971,0.178715394
A4346,0.1223
A2788,0.0452
A3082,0.0664
20600,0.003
E6122,3.63
E6241,3.97
E6276,3.62
E5652,0.245
E2542,0.98
E5464,3.54
E6349,3.68
A4824,0.161
E6113,0.127
E6351,0.4
E5262,0.685
A3018,0.777910915
10461,0.019
A1942,0.339740685
A2170,1.15983569
A1054,1.650622634
18633,0.288
10012,0.008
19111,0.019
A4038,0.217
169400,0.109
A11329,0.4004
A1908,2.37
16036,0.009
16322,0.132
20451,0.314
20705,0.0894
21905,0.007
E1573,1.36
319607,1
A6072,0.349266125
A6544,0.3
A4846,0.203209382
A2659,3.1329625
A4027,1.27
13092,0.029
11697,0.019
A5089,0.049895161
A3880,0.0387
19010,0.015
S2920,0.133
170495,0.027
319902,1
12645,0.004
A4406,0.086
E3167,0.1316
319553,1
A6648,0.222
E2216,2.299713316
A5005,0.0764
10032,0.024
E4272,0.19
E4537,0.245
E3583,0.1225
E3661,0.062
E2768,0.018
E4837,0.001
E6263,0.35
E3838,0.558
E6128,0.218
E4465,0.405
E1344,1.3605
E3280,0.324
E4813,0.054
E3369,0.161
E4814,0.226
E4784,0.19
E5163,0.127
E5164,0.342
E5166,0.228
E5167,0.001
E5160,0.646
E5478,0.093
E3047,0.083
E6132,1
E4970,0.103
E3793,0.0622
E3197,0.077564295
E3741,0.121
E3794,0.062
E3795,0.278
A2879,1.08
E3983,0.283
E1357,1.15983569
E1208,2.169985898
A7183,0.4
A7026,0.45
A2568,0.3441
A4354,0.505
A10507,0.5718
A10509,0.1853
A4547,0.299824557
A10511,0.2549
E5236,0.577
A10561,0.078
A4366,0.1072
A4303,0.372852928
A10516,0.3104
A6800,0.076
A4968,0.1305
A4918,0.1752
A4501,0.123830717
A4338,0.387821476
A4415,0.179622579
A6948,0.243579103
A2205,0.5905
A4892,0.273969791
A4585,0.289845524
A2364,1.3605
A4793,0.378296037
A1659,0.6093
A3275,0.388
A3143,0.602
A3832,0.321
A6882,0.639565242
A5696,1.025
A4325,0.9962
A4084,0.638204465
A4626,0.2971
A4321,0.40006847
A5725,0.214549191
13672,0.013
169437,0.02
17844,0.01
A3283,0.066
A3151,1.07
A6610,0.123830717
E3178,0.3303
E2406,0.104
13770,0.067
A10385,3.3959
A5037,0.127005864
A10378,3.1042
A4630,0.1678
A4399,0.4827
10175,0.042
A4452,0.286216785
A4359,0.383739145
A8618,2.25
A4624,0.200034235
A5881,0.866
A5044,0.274876976
A3469,0.039916129
14742,0.001
A5160,0.371
17244,0.017
10653,0.041
16243,0.0008
169985,0.016
12511,0.086
A10835,0.367
A4826,0.3091
A10850,0.11
16336,0.028
21313,0.028
21157,0.0454
A2330,0.127005864
15159,0.029
A10889,0.233
A10908,0.357
20643,0.0548
13968,0.0039916
20150,0.005
A7142,0.4827
A3157,0.779
A10806,3.69
18646,0.001
170712,0.01
20438,0.02154
168871,0.037
10457,0.002
A2920,0.061
192856,0.029
A6283,0.109769354
21822,0.004
A10898,0.84
19266,0.124
18650,0.007
A10905,0.367
170647,0.815
16857,0.004
A1901,0.151
A2025,0.019
A2104,0.12
A2797,0.454
A4219,1.38
A2625,0.021
14000,0.027
A3162,0.38464633
A3107,0.0364
A3041,0.0648
18357,0.019
19810,0.044
E1950,1.421558488
E1553,0.645915535
170169,0.249
19590,0.19
13520,0.022
A2921,0.116
18231,0.035
12019,0.02
12442,0.073
E4027,0.634
A2822,0.036
16251,0.145
20589,0.031
20327,0.0056
13666,0.008
192863,0.03
20634,0.003
17512,0.01814
11819,0.212
10011,0.02
10010,0.006
170870,0.239
A2645,2.1
A4534,0.2276
A5163,1.6
A5191,2.3
E2232,0.045
19438,0.016
10689,1.903
12260,0.067
169150,2.242
19328,0.002
A10526,0.4665
A2028,1.85
10121,0.003
22073,0.008
21454,0.013
168951,0.011
177021,0.285763
A10839,0.767
A3007,7.04
A3932,12.5
A5116,1.87
16253,0.005
20948,0.004
20578,0.002
13771,0.086
20507,0.0083
A2669,1.14
A7394,4.3
A4187,0.602
A2804,1.07
A2897,1.37
A1970,0.090718474
A5377,7.151
A4865,0.052616715
A4746,0.098883137
17922,0.046
A3889,0.346544571
169558,0.384
10658,0.005
A3667,0.043
A4482,0.188694426
A10578,0.1007
16017,0.054
21762,0.023
19702,0.042
15984,0.033
17463,0.04
13870,0.067
11178,1.698
18729,0.015
E4911,0.399
E2612,0.333
16233,1.114
16249,0.684
13759,0.109
15166,0.07
A3893,3.07
A2111,2.7
A5052,0.328
A5941,0.323864952
318381,0.001
E4842,0.60282426
A3156,0.773828583
16271,0.023
A6614,0.069853225
18991,0.049
18924,0.059
17554,0.062
20483,0.0019958
167732,0.384
169050,0.011
A3871,14.93044645
E2729,0.129727418
20282,0.0115
16359,0.571
16368,0.009
19990,0.003
E5715,0.444
16390,0.0454
319614,1
E2791,0.338
E3116,0.6061
E4217,0.29664941
A4191,4.3
A2866,0.285
18913,0.083
13995,0.105
E3082,0.0881
E4822,0.265
E2290,0.464
E5851,0.26
E5854,0.247
E4015,0.443
E4712,0.105
E5961,2.32
A4390,0.117319
E4611,0.228
E3528,0.399
A5820,0.531610258
A4263,0.153314221
A5799,1.689177986
A2424,1.364
A10399,2.5955
A6048,0.530703073
A10400,0.7056
A4913,0.4186
A6923,0.867268611
A6300,1.099961497
A7258,0.949822423
A1066,0.507
A2706,0.363781081
E3672,0.362
A5038,2.12
A7032,0.767931882
A5823,0.909906294
A5785,0.514373748
A6194,0.442706153
A6307,0.825991706
A5845,0.263083575
A1056,1.700971388
A4145,1.350798078
A1013,0.924874842
A4253,2.519705615
A6972,0.29664941
A6223,0.4361
E2377,0.606906591
E2398,0.599649113
11965,0.031
20530,0.002
15980,0.015
22075,0.0011
12570,0.037
17716,0.969
17715,0.149
A7296,0.119748386
A5524,1.869707749
A10836,0.406
E1800,0.069
A2171,1.289563108
A2203,1.050973521
21946,0.054
A4369,0.099790321
A8652,5.584
A3043,0.0327
15394,0.004
16256,0.002
A5963,0.039916129
20126,0.042
A2497,0.0306
E2438,0.066
168956,0.034
A10851,0.084
169605,0.001
A4579,0.0387
A7252,0.604
A3160,0.184
A4386,0.366502635
E6051,3.04
A10432,3.3912
A8436,0.244
A3001,0.634
A5504,1.289563108
A1919,0.676
A1995,1.26
A3152,1.78
177023,0.285763
A6206,1.241482317
A4205,0.875
A2178,0.128
170683,0.01
169122,0.001
16118,0.014
19787,0.011
18019,0.077
A6958,0.35607001
170605,0.021
170008,0.012
169482,10.51
A3916,0.153314221
A7309,2.898
11662,0.062
A4780,0.145603151
15446,0.625
11544,0.007
A8388,11.3
A3467,0.179622579
20080,1.178
16224,0.067
12073,0.137
13392,0.014
17890,0.003
20277,0.0005
11913,0.035
16883,0.048
A5581,0.383
E3327,0.098883137
16255,0.0034019
19836,0.62
A5020,0.065
20840,0.0022
13645,0.004
A2704,0.354
A10897,5
A8895,0.024
A5061,0.086636143
A4543,0.128
A4522,0.07
169547,1.404
13084,0.009
13566,0.0014061
18589,0.008
20034,0.122
20315,0.044
A2313,0.173
A4212,0.654987382
170494,0.088
11857,0.029
11946,0.043
A10042,0.211
A2074,0.890855415
18201,0.163
E1265,4.234
E6170,2.5
E5656,0.147
E5640,0.458
E3273,0.176901024
A6146,0.644554758
A3998,0.447695669
13193,0.113
12160,0.076
E2510,0.106
A7341,0.006
20250,0.004
10710,0.025
20019,0.002
18655,0.021
10849,0.069
E2365,0.065
21212,0.095
A10902,1.07
A4368,0.155582183
A4586,0.1388
16587,0.59
167711,0.034
21125,0.0829
13308,0.026
A2071,0.127005864
A3962,2.58
A4013,3.66
A2151,0.065
A3216,0.372
A4193,0.132902564
A2973,2.19
A2955,2.1
20264,0.248
E5137,7.491
A7350,0.514
E5097,0.001
E5098,0.001
A10808,1.92
21057,0.0259
A1981,0.888
A1914,0.942
A4900,0.2554
A4702,0.1648
A10855,0.464
A6473,0.327040099
E3624,0.94
E2590,1.26
E2587,1.28
E4286,1.717605
E5155,0.377
E5154,0.2
A6067,0.576969495
A8582,0.29
A1967,1.069570808
A7249,0.855021617
A2852,1.749959363
A5754,0.928049989
A1080,1.937293012
A7434,0.782
A5706,0.45359237
E4376,0.867722204
E3217,0.3053
E1933,0.454
A10840,0.0842
A2201,0.618699993
A2008,1
A1934,0.288
A2214,0.309
13284,0.0099994
A2683,0.082
A4102,0.633668541
E1144,2.68526683
169057,0.019
19432,0.008
11017,0.282
E4163,0.114
12175,0.013
14064,0.117
18872,0.086
A10349,4.0365
A4820,1.506
A3440,0.867
A10859,2.4362
A8640,0.067
A3680,0.829
A4593,0.077564295
A4397,0.178715394
A2567,0.371
A10845,0.603
A4574,0.11475887
A5024,0.430912752
A4637,0.3347
E2546,0.0862103
170611,0.019
A4566,0.0862
E3843,0.1266
A10857,0.457
A2845,5.35
A3911,2.57
A3844,4.954589458
16290,0.007
A3576,2.22
E2092,0.115
E2008,0.284
319557,1
E2428,0.0663
A6007,0.032658651
A10382,3.6068
16032,0.021
168983,1.133
174433,0.0005
A2999,0.115
A2700,0.235
A3140,0.578
A1096,0.0866
A3243,0.464
A2734,0.22770337
A5650,0.249
20700,0.0036
A2098,0.60282426
E3137,0.172
A2628,0.065
10623,0.063
170865,0.012
A3274,0.065
14658,0.077
320085,1
170896,0.045
16702,0.21
319886,1
E3085,0.7475
E3394,0.117
E1743,1.8443
A1834,10.8
A2589,29.8
A2243,0.646
A3342,0.064863709
A1553,2.75
16431,0.02630836
A3172,0.611896107
A7054,0.596927559
A8739,0.011
A3993,2.31967138
A3191,1.589841257
171529,1.903
E2658,0.8727
E1659,2.02
12611,0.018
11060,0.018
319558,1
170572,0.102
19067,0.007
A7552,9.48
E2854,0.114
167716,0.513
16467,0.072
A6949,0.4603
319615,1
170639,0.014
192805,0.009
13690,0.023
16066,0.014
E3783,0.901288039
E4021,0.464
169221,3.194
E3856,2.98
E5905,2.56
E3839,1.49
E1282,1.824
E1764,0.787
E4857,0.817
E4002,0.2693
E5526,1.37
E4079,0.749788188
E3901,0.9962
E4849,0.388
E1137,0.343
E3117,0.294
E3811,0.597
E3909,0.269
E1721,0.587
E1773,0.352
E4798,1.1546
E6033,0.796
E2237,0.415490611
E4127,0.618699993
E3382,0.28
E4915,0.456767517
E5988,0.801
E3906,2.3
16040,0.061
E3780,0.94
171732,1.36
E6032,0.353
E6030,0.552
12464,0.652
A5142,3.179
A5430,5.46987039
A4079,0.006
21989,0.131
326999,1
15109,0.509
10822,0.063
11789,0.043
167526,0.005
A8746,3.32
A2379,1.0419
A2508,1.799854524
A8747,4.65
A3901,0.653
E1417,0.45
13303,0.018
17805,0.003
11961,0.096
19876,0.091
16396,0.014
E2060,0.833702776
E1787,3.709931994
A7347,0.1639
A7348,0.342008647
A7385,0.2882
A7430,0.219992299
E1642,1.009696616
A6025,2.497
A2944,1.04
313942,0.42
E3486,0.253
E5876,0.2932249
E5327,0.953
A2741,0.407
A2287,0.259
A2892,7.63
A5233,3.364294608
A6435,0.419572942
A2428,4.26
A3335,0.245
E2643,0.568804832
A4388,0.16465403
A3708,20.6
A5138,1.44
A2185,0.983
A1921,1.36
A3114,0.360152342
A3990,3.019564407
A3892,5.79
A1940,1.2
A5436,1.939560974
